Day,Month,Year,Price,Open,High,Low,Nifty Vol,Chg,VIXPrice,VIXOpen,VIXHigh,VIXLow,VIXChg,GSECPrice,GSECOpen,GSECHigh,GSECLow,GSECChg,FXPrice,FXOpen,FXHigh,FXLow,FXChg,OilPrice,OilOpen,OilHigh,OilLow,OilVolume,OilChg,FII_BUY,FII_SELL,FII_NET,DII_BUY,DII_SELL,DII_NET,Nifty_PE
22,1,2021,14371.9,14583.4,14619.9,14357.75,776750,-0.015,22.4225,22.18,23.04,18.73,0.0109,5.939,5.97,5.973,5.936,-0.0029,72.98,72.965,73.111,72.92,0.0003,52.27,53.1,53.16,51.44,0,-0.0162,8326.77,8962.46,-635.69,4859.95,6150.3,-1290.35,38.86
21,1,2021,14590.35,14730.95,14753.55,14517.25,704650,-0.0037,22.18,21.55,22.7775,18.6175,0.0292,5.956,5.942,5.958,5.931,0.0024,72.96,72.916,73.061,72.894,0.0007,53.13,52.93,53.41,52.75,352.4,-0.0021,9104.25,7489.59,1614.66,5053.57,6093.05,-1039.48,39.41
20,1,2021,14644.7,14538.3,14666.45,14517.55,623070,0.0085,21.55,22.8975,23.185,19.33,-0.0588,5.942,5.942,5.945,5.931,0.001,72.91,73.192,73.205,72.896,-0.0038,53.24,53.13,53.79,53.05,37.84,0.0049,7701.29,5412.24,2289.05,5084.73,5949.35,-864.62,39.55
19,1,2021,14521.15,14371.65,14546.05,14350.85,546110,0.0168,22.8975,24.395,24.395,20.36,-0.0614,5.936,5.963,5.963,5.933,-0.0035,73.19,73.177,73.311,73.113,0.0001,52.98,52,53.13,51.76,125.96,0.0118,6715.91,6458.36,257.55,5146.41,5345.71,-199.3,39.22
18,1,2021,14281.3,14453.3,14459.15,14222.8,762040,-0.0106,24.395,24.01,25.4125,23.5675,0.016,5.957,5.965,5.986,5.953,-0.0052,73.181,73.15,73.333,73.136,0.0008,52.36,52.2,52.61,51.83,0,0.0031,7847.77,7197.17,650.6,6371.06,6413.57,-42.51,38.92
15,1,2021,14433.7,14594.35,14617.45,14357.85,789560,-0.0111,24.01,23.0275,24.6775,23.0275,0.0427,5.988,5.959,5.988,5.942,0.0108,73.12,73.089,73.211,72.99,0.0007,52.36,53.8,53.83,51.83,165.67,-0.0226,7240.81,6269.75,971.06,4914.07,5856.14,-942.07,39.34
14,1,2021,14595.6,14550.05,14617.8,14471.5,620200,0.0021,23.0275,23.2925,23.7025,22.8075,-0.0114,5.924,5.955,5.955,5.924,-0.0039,73.07,73.135,73.239,72.923,-0.0012,53.57,52.84,53.75,52.24,390.09,0.0125,10175.47,9098.85,1076.62,5772.8,5960.9,-188.1,40.03
13,1,2021,14564.85,14639.8,14653.35,14435.7,873960,0.0001,23.2925,22.8475,24.0475,22.37,0.0195,5.947,5.913,5.955,5.908,0.0027,73.16,73.19,73.238,73.061,-0.0008,52.91,53.31,53.93,52.58,429.9,-0.0056,10263.57,8384.51,1879.06,5777.2,8147.37,-2370.17,39.94
12,1,2021,14563.45,14473.8,14590.65,14432.85,929570,0.0054,22.8475,22.3825,23.26,22.2925,0.0208,5.931,5.937,5.937,5.919,0.0012,73.22,73.494,73.494,73.2,-0.0032,53.21,52.18,53.45,52.07,400.2,0.0184,9354.82,8783.35,571.47,5556.61,6891.11,-1334.5,39.94
11,1,2021,14484.75,14474.05,14498.2,14383.1,672880,0.0096,22.3825,20.64,22.745,20.64,0.0844,5.924,5.946,5.946,5.917,0.0054,73.455,73.45,73.6,73.357,0.0017,52.25,52.58,52.7,51.5,394.82,0.0002,9652.29,6513.39,3138.9,4496.85,7106.98,-2610.13,39.72
8,1,2021,14347.25,14258.4,14367.3,14221.65,613470,0.0148,20.64,20.615,20.85,17.38,0.0012,5.892,5.878,5.901,5.876,0,73.33,73.455,73.509,73.201,-0.0012,52.24,50.93,52.75,50.81,499.42,0.0277,13171.18,7141.35,6029.83,4792.7,7165.24,-2372.54,39.45
7,1,2021,14137.35,14253.75,14256.25,14123.1,559170,-0.0006,20.615,20.995,20.995,20.1375,-0.0181,5.892,5.906,5.912,5.891,-0.0003,73.42,73.161,73.482,73.063,0.0041,50.83,50.53,51.28,50.39,369.29,0.004,8481.77,8099.47,382.3,4815.72,5805.22,-989.5,38.88
6,1,2021,14146.25,14240.95,14244.15,14039.9,632320,-0.0038,20.995,20.46,21.63,20.425,0.0261,5.894,5.877,5.912,5.868,0.0075,73.118,73.168,73.229,73.046,0,50.63,49.82,50.94,49.48,509.37,0.014,6733.28,7216.92,-483.64,5686.04,6066.45,-380.41,38.90
5,1,2021,14199.5,14075.15,14215.6,14048.15,492480,0.0047,20.46,20.03,21.005,20.03,0.0215,5.85,5.856,5.858,5.839,-0.0014,73.12,73.08,73.29,72.98,0.0007,49.93,47.38,50.2,47.24,643.19,0.0485,7039.45,6053.15,986.3,5092,5582.03,-490.03,39.05
